date,IPAM_round,picture,Frag_number,IPAM_file,AOI,tank,PAR,F_value,Fm_value,YII_value
08-Jul-19,round_1,25,6,r1_25_ben.csv,1,T2,0,0.1574,0.3848,0.591
08-Jul-19,round_1,25,6,r1_25_ben.csv,2,T2,0,0.1765,0.4279,0.588
08-Jul-19,round_1,25,6,r1_25_ben.csv,3,T2,0,0.1853,0.4461,0.585
08-Jul-19,round_1,25,53,r1_25_ben.csv,4,T2,0,0.1544,0.4005,0.614
08-Jul-19,round_1,25,53,r1_25_ben.csv,5,T2,0,0.1422,0.3637,0.609
08-Jul-19,round_1,25,53,r1_25_ben.csv,6,T2,0,0.1363,0.349,0.61
08-Jul-19,round_1,25,141,r1_25_ben.csv,7,T2,0,0.1623,0.4191,0.613
08-Jul-19,round_1,25,141,r1_25_ben.csv,8,T2,0,0.1642,0.4206,0.61
08-Jul-19,round_1,25,141,r1_25_ben.csv,9,T2,0,0.1407,0.3657,0.615
08-Jul-19,round_1,25,103,r1_25_ben.csv,10,T2,0,0.224,0.5593,0.599
08-Jul-19,round_1,25,103,r1_25_ben.csv,11,T2,0,0.1676,0.4294,0.61
08-Jul-19,round_1,25,103,r1_25_ben.csv,12,T2,0,0.1784,0.4676,0.618
08-Jul-19,round_1,26,32,r1_26_ben.csv,1,T2,0,0.1289,0.326,0.605
08-Jul-19,round_1,26,32,r1_26_ben.csv,2,T2,0,0.1382,0.3505,0.606
08-Jul-19,round_1,26,32,r1_26_ben.csv,3,T2,0,0.1475,0.3667,0.598
08-Jul-19,round_1,27,126,r1_27_ben.csv,1,T3,0,0.2127,0.5176,0.589
08-Jul-19,round_1,27,126,r1_27_ben.csv,2,T3,0,0.2235,0.5333,0.581
08-Jul-19,round_1,27,123,r1_27_ben.csv,3,T3,0,0.1672,0.4064,0.589
08-Jul-19,round_1,27,25,r1_27_ben.csv,4,T3,0,0.1784,0.4397,0.594
08-Jul-19,round_1,27,25,r1_27_ben.csv,5,T3,0,0.1578,0.3931,0.599
08-Jul-19,round_1,27,25,r1_27_ben.csv,6,T3,0,0.152,0.3804,0.601
08-Jul-19,round_1,27,163,r1_27_ben.csv,7,T3,0,0.1961,0.5181,0.622
08-Jul-19,round_1,27,163,r1_27_ben.csv,8,T3,0,0.175,0.4515,0.612
08-Jul-19,round_1,27,163,r1_27_ben.csv,9,T3,0,0.1735,0.4529,0.617
08-Jul-19,round_1,27,123,r1_27_ben.csv,10,T3,0,0.1985,0.4892,0.594
08-Jul-19,round_1,27,123,r1_27_ben.csv,11,T3,0,0.1887,0.4706,0.599
08-Jul-19,round_1,27,123,r1_27_ben.csv,12,T3,0,0.1814,0.4583,0.604
08-Jul-19,round_1,28,141,r1_28_ben.csv,1,T3,0,0.2275,0.3956,0.425
08-Jul-19,round_1,28,141,r1_28_ben.csv,2,T3,0,0.2054,0.3647,0.437
08-Jul-19,round_1,28,141,r1_28_ben.csv,3,T3,0,0.1765,0.3108,0.432
08-Jul-19,round_1,28,28,r1_28_ben.csv,4,T3,0,0.1779,0.3221,0.447
08-Jul-19,round_1,28,28,r1_28_ben.csv,5,T3,0,0.1647,0.2966,0.445
08-Jul-19,round_1,28,28,r1_28_ben.csv,6,T3,0,0.1681,0.3059,0.45
08-Jul-19,round_1,28,114,r1_28_ben.csv,7,T3,0,0.2039,0.3931,0.481
08-Jul-19,round_1,28,114,r1_28_ben.csv,8,T3,0,0.1794,0.3515,0.49
08-Jul-19,round_1,28,114,r1_28_ben.csv,9,T3,0,0.1373,0.2603,0.473
08-Jul-19,round_1,28,102,r1_28_ben.csv,10,T3,0,0.2113,0.399,0.471
08-Jul-19,round_1,28,102,r1_28_ben.csv,11,T3,0,0.2029,0.3686,0.449
08-Jul-19,round_1,28,102,r1_28_ben.csv,12,T3,0,0.1971,0.3662,0.462
08-Jul-19,round_1,29,24,r1_29_ben.csv,1,T3,0,0.1799,0.4319,0.583
08-Jul-19,round_1,29,24,r1_29_ben.csv,2,T3,0,0.1672,0.4029,0.585
08-Jul-19,round_1,29,24,r1_29_ben.csv,3,T3,0,0.1574,0.3868,0.593
08-Jul-19,round_1,29,95,r1_29_ben.csv,4,T3,0,0.1745,0.4304,0.595
08-Jul-19,round_1,29,95,r1_29_ben.csv,5,T3,0,0.1466,0.3618,0.595
08-Jul-19,round_1,29,95,r1_29_ben.csv,6,T3,0,0.1539,0.3681,0.582
08-Jul-19,round_1,29,165,r1_29_ben.csv,7,T3,0,0.149,0.3809,0.609
